PARTY_ID,PARTY_NAME,KNOWN_AS,ATTRIBUTE20,DUNS_NUMBER,EMPLOYEES_TOTAL,SIC_CODE,ALL_ADDRESS_LINES,CITY,STATE,POSTAL_CODE,COUNTRY_NAME,VERTICAL_MARKET_TOP_DESC
91712293,SCHLAADT GESELLSCHAFT FUR HARTSCHAUMVERPACKUNGEN MBH,SCHLAADT,,327553343,18,3089,SCHWALBACHER STR. 123,LORCH,HESSEN,65391,GERMANY,Manufacturing
91716051,POHLEN BEDACHUNGEN GMBH,POHLEN BEDACHUNG,,325551083,1,8741,AM PANNHAUS 2,GEILENKIRCHEN,NORDRHEIN-WESTFALEN,52511,GERMANY,Professional Services
91714723,WAGENER & SIMON BETEILIGUNGS-GMBH,WASI BETEILIGUNG,WASI BETEILIGUNG,325437143,2,8741,EMIL-WAGENER-STR. 1,WUPPERTAL,NORDRHEIN-WESTFALEN,42289,GERMANY,Professional Services
10912903,HOCHTIEF CONSTRUCTION AG,,,,,,RIEDEMANNWEG 6,BERLIN,BERLIN,13627,GERMANY,Professional Services
11305123,ORANGE COUNTY UTILITIES WAREHOUSE,,ORANGE COUNTY UTILITIES,,,,4760 W SAND LAKE RD TONI,SAND LAKE,FL,32819,UNITED STATES,Government
9032227,NEDBANK,,NEDBANK LTD,,,,90 ORDINANCE ROAD,DURBAN,,4000,SOUTH AFRICA,Financial Services
9053075,CLEMONS RICHTER & REISS PC,,CLEMONS & ASSOCIATES,,,,107 E OAKLAND AVE,DOYLESTOWN,PA,18901,UNITED STATES,Professional Services
9036792,GERLING-KONZERN OST-WEST ERST-UND RUECKVERSICHERUNGSUNTERNEHMEN AG,,,328250543,0,6111,BISMARCKSTR. 10-12,BERLIN,BERLIN,10625,GERMANY,Financial Services
4433923,THE BOND MARKET ASSOCIATION,,PUBLIC SECURITY DIRECTORATE,,,,C/O COMPUTER AND COMMUNICATIONS SYSTEMS END OF WASFI AL TAL STREET KHALDA,AMMAN,,TBD,JORDAN,Professional Services
4434193,CALIFORNIA CARTAGE COMPANY INC,,,144386166,0,4225,2902 E VAL VERDE CT,COMPTON,CA,90221,UNITED STATES,Transportation
1007978,"TRENTON SPECIAL SCHOOL TRUST, INC.",TRENTON SPECIAL SCHOOL DST,,941242117,201,8211,201 W 10TH ST,TRENTON,TN,38382,UNITED STATES,Education- Public/Private
2169878,SECRETARA?A DE ECONOMA?A,SE,SE,812310118,0,9199,ALFONSO REYES 30 HIPODROMO CONDESA CUAHUTA?MOC  CONDESA,CUAUHTEMOC,DIF,6140,MEXICO,Government
92706031,NORWAY,,,,,,HOMMENKOLLEN 23 TOPPEN 12,OSLO,OSLO,1255,NORWAY,
92651078,VOXOA,,,282637743,43,8711,30 RUE DU LAC,LYON,RHONE,69003,FRANCE,Technical Services
92651348,ETABLISSEMENTS RENARD,,,274301019,55,6719,RUE GEORGES DEVOUGES,LOISON SOUS LENS,PAS-DE-CALAIS,62218,FRANCE,
92622648,A M TODD COMPANY,,,103727496,0,2087,150 DOMORAH DR,MONTGOMERYVILLE,PA,18936,UNITED STATES,Manufacturing
92627038,CISCO,,,,,,HEHIA SHARAKIA GOVERNMENT 13 MOTAFA KAMEL STREET,HEHIA,HEHIA,12345,EGYPT,
92665471,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD,HSBC,HSBC,894678932,0,6029,21 COLLYER QUAY #14-01 HSBC BUILDING,SINGAPORE,,49320,SINGAPORE,Financial Services
92630068,QATAR INDUSTRIAL MANUFACTURING COMPANY,QIMC,QIMC,535058200,28,5084,QATAR INDUSTRIAL MANUFACTURING BUILDING AL CORNICHE STREET OPPOSITE NAVIGATION DAFFNA AREA CORNICHE STREET,DOHA,,,QATAR,Wholesale/Distribution
